# ContigOrdering file.  This file represents a ContigOrdering object, which describes an ordering of contigs within a Proximo cluster.
# See ContigOrdering.h for more documentation.
#
# Important numbers:
#	N_contigs	1057	(Number of contigs in the input cluster)
#	N_contigs_used	1057	(Number of contigs ordered by this ordering)
#	has_Q_scores	1	(Boolean: has orientation quality scores?)
#	has_gaps	0	(Boolean: have gap sizes between contigs been estimated?)
#
# Columns:
#contig_ID(local)	contig_name	contig_rc	orientation_Q_score	gap_size_after_contig
36	1212	1	0.783627	.
217	486647	0	12.475	.
426	515485	0	11.3394	.
310	503379	1	1.78743	.
15	687	1	173.856	.
1001	7161906	1	7.42539	.
1002	7162041	1	15.3972	.
513	522257	0	30.991	.
237	492188	0	24.6461	.
956	6937006	1	1.25573	.
957	6937007	1	48.2376	.
341	507536	0	92.1275	.
203	485281	1	27.1124	.
106	433252	1	112.104	.
2	361	1	169.077	.
282	500154	0	114.769	.
304	503106	1	128.427	.
365	509729	1	27.8229	.
756	2783442	1	16.5113	.
710	2353709	1	9.34011	.
709	2353698	1	4.49251	.
757	2783453	0	1.37181	.
273	498029	1	22.1766	.
441	516835	0	11.6976	.
275	498130	1	31.2982	.
465	518162	0	43.2272	.
163	468155	1	6.31208	.
364	509644	1	75.1031	.
482	519181	1	49.6731	.
463	518020	0	542.403	.
146	459486	1	465.952	.
440	516804	0	22.4727	.
896	6404722	0	18.7787	.
895	6401208	1	18.3819	.
915	6600227	1	5.18231	.
917	6613156	1	9.22913	.
916	6600321	1	19.5389	.
918	6613251	1	11.0651	.
45	1495	1	45.4252	.
195	483240	1	20.8919	.
223	487716	1	55.5309	.
353	508939	0	14.0831	.
191	483079	1	27.024	.
943	6858406	0	9.07117	.
944	6858407	0	3.7615	.
498	520010	1	12.8975	.
840	4569145	1	0.0498238	.
706	2233025	1	3.11356	.
790	3394600	1	3.07696	.
894	6379449	0	24.077	.
493	519775	0	200.724	.
21	827	0	179.144	.
293	502098	1	18.7926	.
9	508	0	76.3463	.
390	511630	0	1.78625	.
921	6627254	1	4.57675	.
922	6627255	1	9.71578	.
636	1278928	1	0.156793	.
633	1273938	0	0.0773934	.
423	515160	0	0.547943	.
634	1273974	0	0.140892	.
635	1278892	1	1.6339	.
27	1118	0	2.54956	.
1025	7200852	0	0.0422366	.
958	6939338	0	0	.
566	816987	0	3.04848	.
185	482787	0	14.1889	.
396	512261	1	1.23144	.
941	6838454	0	6.96275	.
940	6838452	0	4.35882	.
338	507334	0	73.8302	.
290	501365	1	124.699	.
866	5709622	0	3.7735	.
855	5205363	0	7.91493	.
854	5205346	0	3.90615	.
867	5709639	1	0.0788776	.
455	517518	0	14.274	.
56	235948	0	1.00596	.
129	445188	0	45.2214	.
80	310474	0	155.1	.
148	462647	0	52.7197	.
853	5143416	0	6.09915	.
574	878793	0	0	.
580	914894	0	1.49736	.
579	914862	0	5.48001	.
442	516870	1	50.5836	.
276	498142	0	38.4914	.
209	486191	1	14.1825	.
311	503626	1	1.83505	.
1037	7210584	0	1.97075	.
235	492075	1	2.66514	.
241	492396	0	43.4973	.
751	2768633	0	5.38114	.
769	3103309	0	12.2491	.
770	3103336	0	12.3587	.
5	464	1	24.4985	.
642	1399193	1	2.54147	.
620	1154008	0	1.56871	.
473	518438	0	64.4117	.
79	308725	0	58.5122	.
805	3793933	1	25.6208	.
806	3793967	0	6.5913	.
1011	7167042	1	2.99646	.
110	437938	0	0	.
932	6748727	0	3.39275	.
435	516618	1	2.5375	.
416	514051	1	1125.6	.
49	1604	0	1014.21	.
812	3932057	1	0.0267221	.
811	3932046	0	0	.
793	3452491	1	3.05285	.
792	3452428	0	5.28556	.
787	3333001	0	24.6368	.
258	496192	1	17.4059	.
211	486241	1	16.5548	.
982	7065236	0	5.91135	.
983	7065298	0	3.78731	.
984	7067873	0	3.53548	.
985	7067936	1	8.05897	.
326	505849	0	42.2167	.
116	441675	0	110.22	.
133	446038	0	148.798	.
225	488687	0	7.11893	.
124	443631	0	65.9792	.
214	486440	0	83.8019	.
947	6899673	0	0.219728	.
149	462800	0	32.8239	.
205	485924	1	6.32502	.
945	6899225	0	3.36162	.
583	930835	0	0.0226431	.
592	1022747	0	0.985901	.
593	1022751	0	0.69202	.
809	3888319	1	1.76552	.
383	511171	1	119.327	.
152	463299	1	140.042	.
95	375841	0	30.3347	.
802	3777858	1	5.1638	.
542	710544	1	19.151	.
488	519424	1	159.281	.
227	490692	1	51.1884	.
334	506971	1	1.43574	.
865	5676443	0	0.71103	.
864	5676442	0	1.48683	.
803	3777861	0	2.45169	.
72	285762	1	10.4015	.
361	509330	1	37.2533	.
946	6899231	0	0.388528	.
948	6899679	0	4.3759	.
1021	7193323	1	2.64882	.
280	499499	1	4.75105	.
434	516409	1	10.3189	.
925	6689972	0	15.7571	.
926	6689986	0	12.4895	.
768	3002148	0	0.776179	.
736	2664636	0	0.724795	.
767	3002141	0	0.851736	.
264	496552	1	1.24815	.
735	2664629	1	0.399374	.
798	3656365	0	6.30249	.
799	3656396	1	25.3271	.
489	519600	0	259.579	.
147	461497	0	31.604	.
132	445919	1	144.577	.
475	518562	0	907.136	.
458	517719	0	16.3985	.
965	7001223	1	0.325763	.
601	1076151	0	5.36477	.
604	1082249	0	1.46791	.
603	1082247	1	1.19209	.
602	1076153	0	2.97953	.
345	508304	0	86.2455	.
83	328821	0	5.34182	.
88	335662	1	13.5175	.
1004	7164041	1	8.35603	.
1006	7164043	0	21.4584	.
509	521622	0	3.27987	.
222	486846	0	23.658	.
594	1047118	0	61.668	.
595	1047119	0	26.6577	.
219	486668	0	349.708	.
82	317326	1	245.934	.
368	509806	0	58.0424	.
69	285095	0	34.0877	.
6	476	1	50.0139	.
775	3173231	0	25.125	.
125	443671	0	4.45329	.
831	4291461	1	60.1975	.
776	3173253	1	3.5953	.
446	517089	1	11.8701	.
666	1649373	0	5.17075	.
665	1649307	0	1.58881	.
84	335293	0	0	.
194	483236	0	13.9951	.
178	478552	1	19.4299	.
690	1951785	1	22.8012	.
682	1894784	1	12.0784	.
683	1894785	1	2.32706	.
689	1951784	0	9.11864	.
429	515889	1	2.90696	.
1043	7224965	0	12.6171	.
233	491997	0	12.0785	.
181	481407	1	69.7038	.
42	1429	0	2.98223	.
161	466160	0	15.7201	.
401	512608	0	17.1065	.
538	699584	1	10.3422	.
537	699552	1	0.662944	.
949	6906090	1	0.0204098	.
31	1144	1	1.68928	.
284	500755	1	7.86597	.
412	513806	0	77.6068	.
466	518166	0	30.7335	.
484	519273	0	27.6603	.
575	879304	0	34.6936	.
573	878791	0	12.9057	.
571	878776	0	14.4262	.
577	879319	0	15.1384	.
248	494135	1	30.4607	.
379	510701	1	123.12	.
654	1474568	0	33.5981	.
652	1474508	0	24.2936	.
910	6530026	1	30.513	.
901	6471748	0	14.1473	.
902	6471749	0	13.0356	.
911	6530027	1	4.57224	.
477	518935	0	40.9355	.
278	498833	0	6.03919	.
186	482932	0	7.20774	.
141	451512	1	9.0784	.
487	519396	0	71.7966	.
988	7082720	1	7.5206	.
511	522127	1	21.9144	.
1023	7195141	0	121.811	.
1022	7195140	0	98.0239	.
155	463627	0	40.4957	.
277	498480	1	5.05032	.
419	514554	0	69.3396	.
596	1049456	1	35.2425	.
422	514992	0	0	.
821	4068831	0	0.377211	.
491	519614	1	28.0814	.
977	7058286	0	5.43644	.
979	7058292	0	6.9681	.
454	517459	0	32.8552	.
432	516258	1	20.4124	.
920	6621437	0	19.4532	.
914	6593883	1	18.6541	.
913	6593867	1	6.38253	.
919	6621421	0	11.608	.
221	486738	0	2.55407	.
692	1966255	1	21.0368	.
672	1707775	1	18.1405	.
671	1707744	1	8.46238	.
691	1966224	1	10.2515	.
162	467932	0	6.02274	.
67	284055	0	8.87222	.
119	441974	0	7.84398	.
362	509426	0	62.219	.
543	716384	1	0.991575	.
749	2765104	0	8.23305	.
747	2760602	1	7.12085	.
746	2760596	1	6.84406	.
748	2765098	0	10.1733	.
121	442623	0	0.816001	.
500	520034	0	169.045	.
174	474895	1	30.6567	.
150	462957	0	24.555	.
659	1545855	0	21.9738	.
658	1545854	0	8.89872	.
661	1552757	0	7.77136	.
743	2735836	1	3.29392	.
328	506076	1	182.802	.
247	493816	1	71.8686	.
331	506611	1	73.792	.
1049	7336979	0	40.1963	.
1051	7341177	0	55.3152	.
1048	7336850	1	43.3164	.
1052	7341307	1	33.8328	.
476	518565	0	39.4593	.
335	506974	1	25.7172	.
517	627567	0	34.5426	.
516	627566	1	195.061	.
518	627570	1	198.129	.
26	1083	0	1.29431	.
645	1401013	0	3.3442	.
648	1411810	0	4.44091	.
644	1401012	1	1.9257	.
649	1411811	1	5.61497	.
307	503210	0	7.33033	.
317	504237	1	69.6209	.
495	519858	0	125.461	.
839	4554827	0	15.1044	.
795	3582514	0	8.32561	.
838	4554784	0	1.01443	.
786	3227432	0	0	.
519	632278	0	3.25027	.
283	500427	1	5.56328	.
522	632349	0	10.9318	.
521	632282	1	1.2363	.
420	514853	1	33.6047	.
398	512282	1	85.8122	.
25	953	0	567.938	.
406	512999	1	86.561	.
452	517229	1	943.939	.
467	518177	0	1370.05	.
939	6814667	1	0.299128	.
301	502651	0	4.25644	.
424	515264	1	51.299	.
93	375578	1	12.4795	.
261	496289	1	75.996	.
878	6044365	1	67.8326	.
166	469777	1	73.6196	.
315	504201	0	116.203	.
1009	7166757	0	117.858	.
1008	7166756	0	5.78116	.
1010	7166773	1	6.10736	.
1019	7193321	1	7.32231	.
1020	7193322	1	3.26833	.
1018	7193320	1	11.2524	.
512	522199	1	58.76	.
